player_id,player_name,nationality,position,team_id
2935,Nordi Mukiele Mulere,France,Defender,131
2936,Christophe Kerbrat,France,Defender,142
2937,Christ-Emmanuel Faitout Maouassa,France,Midfielder,139
2940,Jean Eudes Aholou,Cote d'Ivoire,Midfielder,138
2941,Ismaila Sarr,Senegal,Midfielder,787
2942,Adama Mbengue,Senegal,,787
2943,Lucas Deaux,France,Midfielder,144
2944,Benjamin Corgnet,France,Midfielder,135
2946,Frederic Guilbert,France,Defender,138
2947,Anthony Lopes,Portugal,Goalkeeper,780
2948,Nabil Fekir,France,Midfielder,771
2950,Jonas Martin,France,Midfielder,218
2952,Yoann Salmier,French Guiana,Defender,133
2953,Abdou Kader Mangane,Senegal,Defender,160
2954,Youri Tielemans,Belgium,Midfielder,782
2955,Ronny Rodelin,France,Forward,140
2956,Bertrand Isidore Traore,Burkina Faso,Forward,4921
2959,Julien Feret,France,Midfielder,140
2961,Yann Bodiger,France,Midfielder,552
2963,Remy Vercoutre,France,Goalkeeper,140
2966,Stephane Sessegnon,Benin,Midfielder,27
2967,Mamadou Samassa,Mali,Goalkeeper,142
2969,Karim Azamoum,France,Midfielder,133
2970,Christian Kouakou Yao,Cote d'Ivoire,Midfielder,140
2971,Romain Genevois,Haiti,Defender,136
2972,Marcus Thuram,France,Forward,771
2973,Christophe Herelle,Martinique,Defender,153
2974,Saif-Eddine Khaoui,Tunisia,Midfielder,777
2975,Mathieu Deplagne,France,Defender,139
2976,Samuel Grandsir,France,Midfielder,133
2979,Jonathan Delaplace,France,Midfielder,140
2980,Kevin Berigaud,France,Forward,139
2981,Alban Lafont,France,Goalkeeper,144
2983,Jeremy Morel,Madagascar,Defender,165
2985,Ludovic Baal,French Guiana,Forward,134
2987,Tristan Dingome,France,Midfielder,133
2988,Memphis Depay,Netherlands,Forward,941
2989,Alexander Djiku,Ghana,Defender,4885
2990,Benjamin Andre,France,Midfielder,143
2991,Herve Bazile,Haiti,Forward,140
2992,Vincent Bessat,France,Forward,140
2993,Stephane Darbion,France,Midfielder,133
2994,Abdoulaye Diallo,Senegal,Goalkeeper,787
2995,Angel Fabian Di Maria Hernandez,Argentina,Midfielder,220
2997,Ibrahima Niane,Senegal,Forward,145
2999,Presnel Kimpembe,France,Defender,771
3002,Benjamin Nivet,France,Midfielder,133
3004,Oswaldo Augusto Vizcarrondo Araujo,Venezuela (Bolivarian Republic),Defender,144
3005,Ezequiel Ponce Martinez,Argentina,,229
3007,Nanitamo Jonathan Ikone,France,Midfielder,143
3008,Benjamin Lecomte,France,Goalkeeper,139
3009,Kylian Mbappe Lottin,France,Forward,771
3010,Corentin Jean,France,Defender,168
3011,Daniel Congre,France,Defender,139
3012,Lebo Mothiba,South Africa,,138
3013,Nicolas Pepe,Cote d'Ivoire,Forward,3374
3014,Junior Osmar Ignacio Alonso Mujica,Paraguay,,3567
3016,Allan Saint-Maximin,France,Forward,178
3017,Ibrahim Sangare,Cote d'Ivoire,Midfielder,3374
3018,Giovanni-Guy Yann Sio,Cote d'Ivoire,Forward,134
3019,Salomon Junior Sambia,France,Defender,139
3020,Rodrigue Casimir Ninga,Chad,Midfielder,139
3021,Kouadio Yves Dabila,Cote d'Ivoire,,143
3022,Fallou Diagne,Senegal,Defender,134
3023,Yuri Berchiche Izeta,Spain,Defender,215
3024,Jacques Francois Moubandje,Switzerland,Defender,773
3025,Christopher Nkunku,France,Midfielder,131
3026,Adrien Rabiot,France,Midfielder,771
3027,Mathias Jorgensen Jatta,Denmark,Defender,776
3028,Kelvin Amian Adou,France,,130
3030,Wergiton do Rosario Calmon,Brazil,Defender,130
3031,Christopher Jullien,France,Defender,139
3032,Zinedine Machach,France,Midfielder,130
3034,Kamil Glik,Poland,Defender,789
3035,Steeve Yago,Burkina Faso,Defender,4921
3036,Alexis Blin,France,Midfielder,130
3037,Mousa Sidi Yaya Dembele,Belgium,Midfielder,782
3038,Andy Delort,Algeria,Forward,136
3040,Tomer Hemed,Israel,Midfielder,403
3041,Ciaran Clark,Ireland,Defender,59
3042,Mikel Merino Zazon,Spain,Midfielder,210
3043,Christian Dannemann Eriksen,Denmark,Forward,38
3044,Chancel Mbemba Mangulu,"Congo, (Kinshasa)",Defender,4881
3045,Ismael Traore,Cote d'Ivoire,Defender,145
3047,Benoit Assou-Ekotto,Cameroon,Defender,135
3049,Matt Ritchie,Scotland,Midfielder,28
3052,Pablo Javier Zabaleta Girod,Argentina,Defender,214
3053,Leroy Sane,Germany,Forward,169
3054,Fernando Luiz Roza,Brazil,Midfielder,781
3057,Jonjo Shelvey,England,Midfielder,26
3058,Javier Hernandez Balcazar,Mexico,Forward,904
3062,Aaron Cresswell,England,Defender,40
3063,Danilo Luiz da Silva,Brazil,Defender,220
3064,David Josue Jimenez Silva,Spain,Midfielder,772
3065,Paul Dummett,Wales,Defender,37
3066,Kyle Walker-Peters,England,,38
3067,Ederson Santana de Moraes,Brazil,Goalkeeper,781
3070,Florent Mollet,France,Midfielder,144
3071,Pierrick Capelle,France,Midfielder,145
3075,Javier Manquillo Gaitan,Spain,Defender,147
3076,Ayoze Perez Gutierrez,Spain,Midfielder,37
3077,Jan Vertonghen,Belgium,Defender,38
3078,Abdoul Razzagui Camara,Guinea,Midfielder,145
3080,Thomas Didillon,France,,129
3081,Jamaal Lascelles,England,Defender,37
3082,Harry Winks,England,Midfielder,38
3083,Heung-Min Son,Korea (South),Forward,904
3084,Christian Atsu Twasam,Ghana,Midfielder,223
3085,Glenn Murray,England,Forward,28
3086,Ben Davies,Wales,Defender,38
3087,Gnegneri Yaya Toure,Cote d'Ivoire,Defender,217
3088,Lewis Dunk,England,,768
3089,Kevin De Bruyne,Belgium,Forward,782
3090,Nicolas Hernan Otamendi,Argentina,Defender,779
3091,Moussa Sissoko,France,Midfielder,38
3092,Dwight Gayle,England,Forward,31
3093,Florian Gregoire Claude Lejeune,France,Defender,206
3094,Bamidele Alli,England,Midfielder,38
3095,Bruno Saltor Grau,Spain,Defender,207
3096,Rob Elliot,Ireland,Goalkeeper,37
3097,Pascal Gross,Germany,Midfielder,189
3098,Victor Wanyama,Kenya,Midfielder,38
3099,Hugo Lloris,France,Goalkeeper,38
3101,Vincent Kompany,Belgium,Defender,782
