team_id,team_name,country,stadium
1,Arsenal,England,Emirates Stadium
22,Leicester City,England,King Power Stadium
23,Watford,England,Vicarage Road
24,Liverpool,England,Anfield
25,Southampton,England,St. Mary's Stadium
26,Swansea City,Wales,Swansea.com Stadium
27,West Bromwich Albion,England,The Hawthorns
28,AFC Bournemouth,England,Vitality Stadium
29,Everton,England,Goodison Park
30,Stoke City,England,bet365 Stadium
31,Crystal Palace,England,Selhurst Park
33,Chelsea,England,Stamford Bridge
36,Manchester City,England,Etihad Stadium
37,Newcastle United,England,St. James' Park
38,Tottenham Hotspur,England,White Hart Lane
39,Manchester United,England,Old Trafford
40,West Ham United,England,Boleyn Ground
41,Sunderland,England,Stadium of Light
46,Wolverhampton Wanderers,England,Molineux Stadium
47,Middlesbrough,England,Riverside Stadium
54,Birmingham City,England,St Andrew's @ Knighthead Park
55,Fulham,England,MATRADE Loftus Road
56,Norwich City,England,Carrow Road
59,Aston Villa,England,Villa Park
75,Charlton Athletic,England,The Valley
98,Blackburn Rovers,England,Ewood Park
101,Leeds United,England,Elland Road
105,Portsmouth,England,Arsenal Stadium
129,AS Monaco,Monaco,Stade Louis II
130,Toulouse,France,Stadium de Toulouse
131,Paris Saint-Germain,France,Parc des Princes
133,Troyes,France,Stade de l''Aube
134,Rennes,France,Roazhon Park
135,Saint-Etienne,France,Stade Geoffroy-Guichard
136,OGC Nice,France,Allianz Riviera
137,Lyon,France,Groupama Stadium
138,Strasbourg,France,Stade de la Meinau
139,Montpellier,France,Stade de la Mosson
140,Stade Malherbe Caen,France,Stade Michel d''Ornano
141,Metz,France,Parc des Princes
142,Guingamp,France,Stade du Roudourou
143,Lille,France,Decathlon Arena  Stade Pierre-Mauroy
144,Nantes,France,Stade de la Beaujoire - Louis Fonteneau
145,Angers,France,Stade Raymond-Kopa
146,Bordeaux,France,Stade Matmut Atlantique
147,Olympique de Marseille,France,Orange Velodrome
152,Clermont Foot,France,Stade Gabriel Montpied
153,Stade Brestois,France,Stade Francis-Le Ble
156,Stade de Reims,France,Stade Auguste-Delaune II
158,AC Ajaccio,France,Stade Michel-Moretti
160,Gazelec Ajaccio,France,Stade Ange Casanova (Ajaccio)
165,Lorient,France,Stade Yves Allainmat - du Moustoir
167,Auxerre,France,Stade de l''Abbe Deschamps
168,Lens,France,Stade Bollaert-Delelis
169,Bayern Munich,Germany,Allianz Arena
171,Hamburger SV,Germany,Volksparkstadion
172,Augsburg,Germany,WWK Arena
173,Hertha Berlin,Germany,Olympiastadion Berlin
174,VfB Stuttgart,Germany,MHPArena
175,Hoffenheim,Germany,PreZero Arena
176,Werder Bremen,Germany,Wohninvest Weserstadion
177,FSV Mainz 05,Germany,Mewa Arena
178,Hannover 96,Germany,Heinz von Heiden-Arena
179,Wolfsburg,Germany,Volkswagen Arena
180,Borussia Dortmund,Germany,Signal-Iduna-Park
181,Schalke 04,Germany,VELTINS-Arena
182,RB Leipzig,Germany,Red Bull Arena
